country_name,country_code,year,births_per_1000,death_by_injury_percentage,deaths_per_1000,births_per_woman,gini_index,hospital_beds_per_1000,female_life_expectancy,male_life_expectancy,neonatal_deaths_per_1000,annual_population_growth_percentage,population_in_slums_percentage,prenatal_care_percentage
Barbados,BRB,2000,15.15,3.42,9.13,1.93,,,77.02,71.97,9.0,-0.17,,
Chile,CHL,2000,16.32,10.08,5.01,2.05,52.8,2.72,80.15,74.02,5.8,1.2,14.62,
Colombia,COL,2000,22.26,27.79,5.57,2.57,58.4,,75.29,66.76,13.5,1.64,21.18,90.8
Costa Rica,CRI,2000,20.24,12.14,3.92,2.41,47.4,1.6,79.87,74.76,7.6,1.94,12.7,
Cuba,CUB,2000,12.86,9.92,7.35,1.61,,5.29,78.13,73.85,4.1,0.33,2.15,100.0
Dominica,DMA,2000,17.92,,9.73,2.35,,3.8,74.46,69.08,12.6,-0.52,,
Dominican Republic,DOM,2000,25.56,13.6,5.56,2.87,51.5,,73.75,67.14,23.0,1.62,30.16,97.8
Ecuador,ECU,2000,25.64,14.49,5.17,3.1,56.3,1.55,75.16,69.08,14.2,1.74,57.41,
Grenada,GRD,2000,17.5,5.07,7.21,2.44,,6.2,75.74,70.28,7.8,0.68,,
Guatemala,GTM,2000,34.71,12.57,6.25,4.58,54.2,,70.33,64.01,21.3,2.38,55.5,
Guyana,GUY,2000,26.23,12.65,7.76,3.06,,,67.49,61.02,27.0,0.05,26.1,80.9
Honduras,HND,2000,34.17,16.29,5.24,4.29,,0.6,70.53,66.23,17.9,2.73,44.4,
Haiti,HTI,2000,32.15,9.28,10.39,4.39,,0.7,59.87,56.48,29.7,1.85,61.28,78.8
Jamaica,JAM,2000,20.13,10.88,6.92,2.35,,,73.1,69.47,16.1,0.69,,66.6
St. Kitts and Nevis,KNA,2000,17.72,,9.41,2.13,,,72.31,66.39,15.2,1.44,,
St. Lucia,LCA,2000,18.83,10.39,6.43,2.21,,2.3,73.04,68.5,11.4,1.21,4.85,47.8
Mexico,MEX,2000,24.19,11.94,5.48,2.71,53.4,1.06,74.97,70.14,14.2,1.54,32.16,
Nicaragua,NIC,2000,27.88,11.37,6.14,3.12,,,69.38,63.29,16.6,1.38,71.6,
Panama,PAN,2000,23.51,11.98,4.83,2.74,56.6,2.32,76.7,70.38,12.2,1.96,48.68,
Peru,PER,2000,23.84,11.62,5.63,2.84,49.1,,71.56,68.15,15.8,1.56,47.41,83.8
Paraguay,PRY,2000,26.88,12.79,5.32,3.51,,0.78,72.27,67.88,18.0,1.93,42.03,
El Salvador,SLV,2000,27.13,22.85,6.55,3.08,51.5,,72.41,63.0,14.5,0.5,1.9,
Suriname,SUR,2000,25.52,13.61,8.06,3.05,,3.9,67.62,61.49,16.9,2.06,7.43,90.6
Trinidad and Tobago,TTO,2000,14.87,7.85,6.85,1.73,,3.3,71.3,65.95,19.7,0.38,11.06,92.4
Uruguay,URY,2000,15.95,7.12,9.5,2.2,42.9,,78.86,70.64,8.4,0.37,23.7,
St. Vincent and the Grenadines,VCT,2000,19.18,6.11,7.91,2.31,,,73.12,67.82,13.3,0.16,,99.0
Venezuela,VEN,2000,23.68,20.35,4.93,2.79,,,76.24,68.76,10.8,1.89,27.82,94.1
Argentina,ARG,2001,18.94,,7.5,2.53,53.3,,77.64,70.64,11.1,1.1,,97.5
Antigua and Barbuda,ATG,2001,17.97,,6.15,2.02,,2.6,78.59,71.53,10.7,1.53,,
Bahamas,BHS,2001,16.79,,6.48,2.02,,3.23,76.12,69.56,8.0,1.23,,
Belize,BLZ,2001,29.41,,5.6,3.53,,,71.66,66.62,11.7,3.1,,
Bolivia,BOL,2001,29.12,,9.56,3.89,57.4,,64.74,60.49,28.7,1.69,,
Brazil,BRA,2001,19.18,,6.19,2.16,58.4,2.75,73.4,66.7,17.2,1.3,,
Barbados,BRB,2001,15.05,,9.04,1.96,,,76.98,72.25,9.1,0.14,,
Chile,CHL,2001,15.91,,4.97,2.01,,2.62,80.57,74.49,5.4,1.16,,
Colombia,COL,2001,21.72,,5.53,2.52,57.3,,75.53,67.07,13.1,1.57,,
Costa Rica,CRI,2001,19.41,,3.89,2.31,51.5,1.57,80.2,75.01,7.5,1.79,,
Cuba,CUB,2001,12.42,,7.28,1.6,,5.11,78.59,74.39,4.0,0.31,,
Dominica,DMA,2001,18.02,,9.88,2.4,,3.5,74.62,69.24,13.0,-0.33,,100.0
Dominican Republic,DOM,2001,25.07,,5.55,2.83,50.0,,73.95,67.33,23.0,1.57,,
Ecuador,ECU,2001,25.14,,5.05,3.04,,1.57,75.67,69.54,13.4,1.73,,
